Вакансия,Зарплата,Тип
Стропальщик,з/п не ук,Резюме
Менеджер по работе с клиентами,25 000,Вакансии
"Делопроизводитель, секретарь, администратор",з/п не ук,Резюме
Продавец-кассир,1 200,Вакансии
Сборщик алюминиевых конструкций,з/п не ук,Вакансии
Пивовар,з/п не ук,Резюме
Бармен/Помощник повара/Кондитер,30 000,Резюме
Юрист,20 000,Резюме
Ищу работу со сменным графиком,з/п не ук,Резюме
"Администратор, помощник руководителя",30 000,Резюме
Парикмахер /Мастер производственного обучения,20 000,Вакансии
Продавец - кассир м. Технологический интститут,22 000,Вакансии
Телохранитель,60 000,Резюме
Сметчик,500,Резюме
"Ищу работу, или подработку. строительство и. т. д",з/п не ук,Резюме
Ищу рабботу,з/п не ук,Резюме
Охранник (окей) г. Колпино,20 000,Вакансии
Менеджер отдела продаж,80 000,Вакансии
"Требуются сотрудники, принимаем всех, пл Мужества",24 000,Вакансии
"Грузчик, разнорабочий",1 700,Резюме
Супервайзер без опыта,50 000,Вакансии
Бетонщик,50 000,Вакансии
Установка бордюрного камня поребрики,з/п не ук,Резюме
Работа маляром на сто,1 000,Вакансии
Профессиональные плиточники,з/п не ук,Резюме
Ландшафтный дизайны,з/п не ук,Резюме
Менеджер,30 000,Резюме
Главный бухгалтер,17 000,Резюме
Мерчендайзер,25 000,Резюме
Водитель с рефрежератором,з/п не ук,Резюме
Продавец-кассир,20 000,Резюме
Водитель,25 000,Резюме
Укладка тротуаров,з/п не ук,Резюме
Рабочий подсобный грузчи,1 500,Резюме
Электрогазосварщик полуавт под рентген. Только с ж,60 000,Резюме
Подсобник разноробочий грузчик,15 000,Резюме
Охранник. электрик. плотник,25 000,Резюме
Разнорабочий,з/п не ук,Резюме
"Бригады фасадчиков, вентилируемый фасад, фасады",800,Резюме
Требуемся в роботе,1 500,Резюме
Официанты с опытом и без на (пр. Просвещения),40 000,Вакансии
Швея,35 000,Вакансии
"Администратор хостела, продавец-консультант",10 000,Резюме
Преподаватель по ударным в музыкальную школу,350,Вакансии
Продавец-консультант м. Бухарестская,20 000,Вакансии
Распространители листовки по почтовым ящикам,30 000,Вакансии
Ищу работу в красносельском районе,30 000,Резюме
Водитель B,з/п не ук,Резюме
Водитель категории С,40 000,Вакансии
Менеджер по развитию агентской сети,20 000,Вакансии
Продавец,з/п не ук,Резюме
Продавец-кассир,30 000,Вакансии
Кузовщик с функциями маляра,50 000,Вакансии
Автомойщик,35 000,Вакансии
Техник,з/п не ук,Резюме
Водитель на Эвакуатор (спб и ло),68 500,Вакансии
Начальник охраны,з/п не ук,Резюме
Рабочий на производство,2 000,Резюме
"Начальник охраны, службы безоп., зам. ген. дир",35 000,Резюме
Звено сварщиков-ручников 6 разряд,45 000,Резюме
Менеджер по продажам автомобилей,35 000,Резюме
Менеджер по продажам,50 000,Вакансии
Мастер маникюра,з/п не ук,Резюме
Продавец молочной продукции,25 000,Вакансии
Электромонтажник судовой,з/п не ук,Вакансии
Тренер ай-ки-до,з/п не ук,Вакансии
Бригадир водителей эл. штабелёров. (С-Пб),30 000,Вакансии
"Официант, официантка",з/п не ук,Резюме
Монтажник систем вентиляции и кондиционирования,з/п не ук,Резюме
Помощник официанта в выходные дни,20 000,Вакансии
Ищу работу,з/п не ук,Резюме
"Офис -менеджер, секретарь, Администратор",24 000,Резюме
Ищу работу в ночную смену с графиком 2/2,30 000,Резюме
Ищу подработку,з/п не ук,Резюме
Водитель погрузчика/грузчик/разнорабочий,30 000,Вакансии
"Продавец, охранник, водитель, кладовщик, строитель",35 000,Резюме
Машинист на экскаватор-погрузчик,50 000,Вакансии
Бухгалтер,25 000,Резюме
Механик,з/п не ук,Резюме
Менеджер в отдел оптовых продаж электрики и света,50 000,Вакансии
Водитель,45 000,Резюме
"Охранник овн ""media-markt"" в тц ""Мега-Парнас",27 000,Вакансии
Электромонтёр,з/п не ук,Резюме
Повар универсал,28 000,Вакансии
Мастер отделочных работ,60 000,Резюме
Электромонтажник,40 000,Резюме
Грузчик,2 000,Резюме
Водитель,60 000,Вакансии
Директор по развитию,30 000,Резюме
Менеджеp пo автоматизации пpодаж,20 000,Резюме
Инженер телекоммуникаций,28 000,Резюме
Инженер пто/сдо,з/п не ук,Резюме
Менеджер по oптимизации бизнес-процессов,25 000,Резюме
Опытный бармен- классик,50 000,Резюме
Архитектор,з/п не ук,Резюме
Визажист,1 000,Резюме
Сметчик Составлю смету в тер ло,500,Резюме
Печатник обработчик,30 000,Вакансии
Водитель на Камаз,82 000,Вакансии
Главный бухгалтер,з/п не ук,Резюме
Водитель такси,35 000,Вакансии
Разнорабочий,40 000,Вакансии
Требуется мерченайзер - грузчик м. Академическая,25 000,Вакансии
Требуются отделочники,60 000,Вакансии
Разнорабочие,30 000,Вакансии
Репетитор английского или немецкого языка,500,Резюме
Кассир,23 000,Резюме
Администратор ресторана,28 000,Вакансии
"Помощник нотариуса, юриста, руководителя",25 000,Резюме
Специалист по строительству деревянных домов,40 000,Резюме
"Требуется прораб, начальник участка",50 000,Вакансии
"Водитель, личный водитель или офисный",35 000,Резюме
"Дизайнер, печатник, печати и штампы (лазер)",35 000,Резюме
"Начальник автоколонны - механик, мастер ремзоны",з/п не ук,Резюме
"Администратор, помощник, ассистент",35 000,Резюме
Начальник отдела оплаты труда,з/п не ук,Резюме
Перевозки,з/п не ук,Резюме
Технический директор/Руководитель проектов,75 000,Резюме
Водитель на личном грузовом автомобиле,600,Резюме
Продавец-консультант по продажам гаджетов,45 000,Вакансии
Водитель на своем грузовом автомобиле,600,Резюме
Парикмахер в салон красоты,з/п не ук,Вакансии
Охранник вахта,2 000,Резюме
Торговый представитель,50 000,Вакансии
Бухгалтер,5 000,Резюме
Администратор-бармен-кассир,27 000,Резюме
"Мерчендайзер, официант",30 000,Резюме
Грузчик,29 000,Вакансии
"Агент по недвижимости (обучение, клиентов много)",150 000,Вакансии
Парикмахер-универсал,40 000,Резюме
Бармен,23 000,Вакансии
Повар холодного цеха,27 000,Вакансии
Менеджер по логистики,40 000,Вакансии
Агент по недвижимости,55 000,Вакансии
Продавец - консультант зоотоваров,25 000,Вакансии
Управляющий,60 000,Вакансии
"Продавец-логист, все районы города",27 720,Вакансии
Частный детский сад/детский центр,500,Резюме
"Фасадчики, штукатуры-маляры на мокрый фасад",50 000,Вакансии
Рабочие на стройку,1 500,Вакансии
"Логист, диспетчер, водитель",з/п не ук,Резюме
"Техник-электрик, электрик",30 000,Резюме
"Педагог песочной анимации- психолог, арт-терапевт",20 000,Вакансии
Продавец-дизайнер,25 000,Вакансии
Менеджер по продажам,50 000,Вакансии
Воспитатель в Частный детский сад,35 000,Вакансии
"Полировка, резка, производство, установки памятник",з/п не ук,Резюме
"Видеомонтажер, выпускающий оператор эфира",з/п не ук,Резюме
Водитель штабелера,30 000,Вакансии
Монтажник сантехнического оборудования,1 500,Вакансии
Официант,30 000,Вакансии
Со стабильным окладом,з/п не ук,Резюме
Менеджер по развитию и рекламе,39 000,Резюме
"Менеджер по персоналу, инспектор по кадрам",35 000,Резюме
Оператор пк,25 000,Резюме
Мерчандайзинг,27 000,Резюме
Продавец-консультант,20 000,Резюме
Продавец-консультант с ежедневными выплатами,27 000,Резюме
Ищу работу,з/п не ук,Резюме
Требуется уборщица (подработка),1 000,Вакансии
Слесарь -сантехник,35 000,Вакансии
Кровельщик,,Резюме
Сварщик-сантехник,45 000,Вакансии
Продавец - консультант,27 000,Резюме
Бухгалтер,з/п не ук,Резюме
Мытьё окон,з/п не ук,Резюме
Требуется строительный персонал / рабочие,1 700,Вакансии
Инженер пто,40 000,Резюме
Уборщица на неполный день,з/п не ук,Резюме
Помощник бухгалтера/экономиста,з/п не ук,Резюме
Воспитатель и помощник воспитателя,25 000,Вакансии
Управляющий,з/п не ук,Резюме
Менеджер-Дизайнер в рекл-производственную компанию,25 000,Вакансии
Закройщик на пресс,40 000,Вакансии
Продавец-консультант в салон часов,20 000,Вакансии
"Начальник участка, инженер по автоматизации",з/п не ук,Резюме
"Кассир-продавец с обучением, м. Автово, Нарвская",31 680,Вакансии
Горничная в гостиницу,22 500,Вакансии
Ремонт под ключ,з/п не ук,Резюме
Диспетчер транспортного отдела,23 000,Вакансии
Сварщик,55 000,Вакансии
Менеджер в отдел доставки,45 000,Вакансии
Тонировщик. винильщик,50 000,Резюме
Мойщица,1 000,Вакансии
Ищу работу официантом,10 000,Резюме
"Водитель-телохранитель, Начальник гбр",60 000,Резюме
Персональный водитель,з/п не ук,Резюме
Автослесарь автомеханик по ремонту BMW,75 000,Вакансии
Водитель такси на автомобиль компании,60 000,Вакансии
Водитель со своим легковым автомобилем,60 000,Резюме
Экономист,з/п не ук,Резюме
"Менеджер, рекламатор, администратор",38 000,Резюме
Менеджер,30 000,Резюме
Администратор,28 000,Резюме
Сборщик мебели,35 000,Вакансии
Маркировщик,30 000,Резюме
Юрист,з/п не ук,Резюме
Требуются строители,50 000,Вакансии
Распиловщик - 1 номер,35 000,Вакансии
Сборщик,24 000,Вакансии
"Логист, парнер в логистику",з/п не ук,Резюме
Дополнительная работа,з/п не ук,Резюме
Промоутер,з/п не ук,Вакансии
Монтажник металлоизделий,30 000,Вакансии
Требуется семейная пара в загородный дом,60 000,Вакансии
Продавец разливного пива выходного дня,25 000,Вакансии
Машинист экскаватора гусеничного,40 000,Резюме
Маляр металлоконструкций,1 500,Вакансии
Продавец,1 200,Резюме
"Предрейсовые, послерейсовые осмотры водителей",з/п не ук,Резюме
"Начальник участка, технический надзор",з/п не ук,Резюме
Уборщик/уборщица,36 000,Вакансии
Подсобник электромонтажных работ монтажник,40 000,Вакансии
Продавец,20 000,Вакансии
"Сборщик мебели, изготовление и установка",40 000,Вакансии
Бухгалтер,5 000,Резюме
Потсобник,1 500,Резюме
Требуются Монтажники окон и дверей,84 000,Вакансии
Ищу работу,25 000,Резюме
Охранник,з/п не ук,Резюме
Сварщик,3 000,Резюме
Менеджер по продаже строительных материалов,65 000,Вакансии
Требуется уборщица (Банк) М. Электросила,22 000,Вакансии
Бухгалтер удаленно опыт работы 20 лет,10 000,Резюме
Водитель на легковой автомобиль,35 000,Резюме
Требуется реставратор по коже,30 000,Вакансии
"Продавец (бусины/фурнитура, бижутерия). 3 вакансии",25 000,Вакансии
Кровельщик (мягкая и жесткая кровля),67 000,Вакансии
Требуется уборщица,5 000,Вакансии
"Укладчик, Упаковщик, фасовщица, оператор",20 000,Резюме
Водитель,з/п не ук,Резюме
Машинист экскаватора погрузчика,300,Резюме
Продавец,35 000,Вакансии
Водитель,300,Резюме
Ищу работу,1 000,Резюме
Уборщица,27 000,Вакансии
Помощник косметолога,30 000,Вакансии
Водитель,2 000,Резюме
Кассир метро Девяткино,20 000,Вакансии
Бульдозерист,з/п не ук,Вакансии
Прораб дорожного строительства,з/п не ук,Резюме
"Бригадир, монтажник систем вентиляции и кондиц",60 000,Резюме
Водитель,33 000,Резюме
Инженер,30 000,Резюме
Специалист по контекстной рекламе / Директолог,30 000,Вакансии
"Зам. гл. бухгалтера, гл. бухгалтер на бюджет. учет",45 000,Резюме
Ищу подработку,з/п не ук,Резюме
Товаровед в алкогольные отделы в Славянке,45 000,Вакансии
Муж на час/ ремонт,з/п не ук,Резюме
Подработка Электросварщиком,45 000,Резюме
Ищу подработку,з/п не ук,Резюме
Мерчандайзер (стационарный),36 000,Вакансии
Упаковщик(ца),43 000,Вакансии
Интересную хорошую работу в дружном коллективе,30 000,Резюме
Грузчики (для работы в бригаду),48 000,Вакансии
Автомаляр кузовшик грузовой сервис,з/п не ук,Вакансии
Уборщица офиса,15 000,Резюме
Менеджер,28 000,Резюме
Техник,з/п не ук,Резюме
Дорожные Рабочие. Вахта,120 000,Вакансии
"Инженер, механик, водитель",з/п не ук,Резюме
"Электромонтёр на совмещение, подработку",15 000,Резюме
Пекарь по Булочкам,30 000,Вакансии
Повар,37 000,Вакансии
Кладовщик в ресторан,25 000,Вакансии
Помбур,500,Резюме
Ищу работу охранником,з/п не ук,Резюме
Бухгалтер,з/п не ук,Резюме
Упаковщик/ца,38 000,Вакансии
"Арборист, валка аварийных и угрожающих деревьев",1 000,Резюме
Продавец-консультант,з/п не ук,Вакансии
Коммерческий директор,35 000,Резюме
Инженер-конструктор,30 000,Вакансии
Инженер-проектировщик,35 000,Резюме
"Администратор, Кассир",25 000,Резюме
Требуется продавец -кассир м. Черная речка,25 000,Вакансии
Менеджер по продажам,з/п не ук,Вакансии
Мойщица,25 000,Вакансии
Менеджер по транспорту/логист,33 000,Резюме
Флорист,30 000,Резюме
Охранник на стройплощадку,30 000,Вакансии
Продавец торгового зала (одежда) г. спб,25 000,Вакансии
Оператор на телефон,з/п не ук,Резюме
Парикмахер - универсал,36 000,Вакансии
"Программист PHP, web-мастер",28 000,Вакансии
"Офис-менеджер, менеджер по персоналу",33 000,Резюме
Требуются охранники,35 000,Вакансии
"Мастер по ремонту телефонов, планшетов Apple",50 000,Вакансии
Грузчик,24 000,Вакансии
Менеджер по снабжению. Снабженец,40 000,Резюме
Охрана в клуб,32 000,Вакансии
Кладовщик/Администратор склада,74 000,Вакансии
Водитель на контейнеровоз iveco,з/п не ук,Вакансии
Упаковщики,37 000,Вакансии
Визажист. Мастер по моделированию бровей,30 000,Резюме
Обивщик мягкой мебели,45 000,Вакансии
Администратор- кассир,20 000,Вакансии
Водитель на своём микроавтобусе,400,Резюме
Торговый представитель-маркетолог,50 000,Вакансии
Водитель кат В,40 000,Резюме
Менеджер по перевозкам,35 000,Резюме
Курьер(подработка),350,Резюме
Водитель погрузчика,50 000,Резюме
Водитель В,з/п не ук,Резюме
Музыкальная группа в ресторан,6 000,Резюме
Стационарный мерчендайзер,25 000,Резюме
Требуются водители на легковые автомобили,40 000,Вакансии
Инженер по технадзору,55 000,Резюме
Оператор-наладчик поточно-автоматической линии,30 000,Вакансии
Водитель,з/п не ук,Резюме
Распиловщик и сборщик мебели,30 000,Вакансии
Водитель кат. вс,з/п не ук,Резюме
Газоэлектросварщик,30 000,Вакансии
Водитель погрузчика,27 000,Вакансии
Курьер,20 000,Вакансии
Логопед,800,Резюме
Повар,1 500,Резюме
"Учитель, репетитор, редактор, корректор, журналист",10 000,Резюме
Повар/Пекарь,26 000,Вакансии
Врач гериатр пансионатов для пожилых,50 000,Резюме
Исполнительный директор,70 000,Резюме
Продавец-консультант в зоомагазин,25 000,Вакансии
Главный бухгалтер,10 000,Резюме
Сортировщица,26 000,Вакансии
Комплектовщик,28 000,Вакансии
Повар-кассир с обучением,42 000,Вакансии
Сортировщица фрагментов,25 000,Вакансии
Ремонт жилых помещении,з/п не ук,Резюме
Грузчик на пивоваренный завод,27 000,Вакансии
Кассир повар в ресторан русской кухни,38 000,Вакансии
Кассир блинопёк,41 000,Вакансии
Программист стажер 1С,100,Резюме
"Охранник ""media-markt"" в тц ""Мега Дыбенко""",30 000,Вакансии
Упаковщики,30 000,Вакансии
Складской рабочий. м. купчино пос. шушары,28 000,Вакансии
Сборщик заказов молодежной одежды,25 000,Вакансии
Администратор гостиницы,з/п не ук,Вакансии
Инженер по организации и управлению на транспорте,з/п не ук,Резюме
Мастер ногтевого сервиса,з/п не ук,Резюме
Мерчендайзер,33 000,Вакансии
Гипрочник плиточник,з/п не ук,Резюме
Курьер,20 000,Резюме
Охранник в элитные Таун Хаусы сутки Удельная,35 000,Вакансии
Машинист башенного крана,30 000,Резюме
"Ведущий бухгалтер, бухгалтер",45 000,Резюме
Требуется продавец в салон связи,30 000,Вакансии
"Шеф-повар, старший повар, повар-унивирсал",з/п не ук,Резюме
Помощник руководителя,15 000,Резюме
Водитель,3 500,Резюме
Монтажники металлоконструкций ограждающих,55 000,Вакансии
Автомеханик,30 000,Вакансии
"Кладовщик, Комплектовщик, Экспедитор(нет прав) итд",27 000,Резюме
Руководитель электромонтажных работ,60 000,Резюме
Ищу работу на неполный рабочий день,20 000,Резюме
"Няня, воспитатель",250,Резюме
"Педагог по математике, репетитор",з/п не ук,Резюме
Менеджер по продажам,40 000,Вакансии
Продавец-кассир,26 500,Вакансии
Системный администратор (Совмещение / Приходящим),3 000,Резюме
"Помощник юриста, адвоката, юрисконсульта",з/п не ук,Резюме
Рабочий на склад/Наладчик оборудования,65 600,Вакансии
"Помощник, администратор, работа на пк, 1С",28 000,Резюме
Сварщик,999,Резюме
Водитель легкового автомобиля,31 000,Вакансии
Переводчик,50 000,Резюме
Рабочий на вентилируемый фасад,з/п не ук,Резюме
"Оператор пк, документовед, менеджер",22 000,Резюме
Уборщица,45 000,Вакансии
Водитель на личном авто,з/п не ук,Резюме
Сушист / повар гор. цеха,29 000,Вакансии
"Швея, портная по ремонту одежды. м. пл. Мужества",33 000,Вакансии
Подработка на личном авто,з/п не ук,Резюме
Монтажник пвх конструкций,з/п не ук,Резюме
Уборщица утренняя,з/п не ук,Резюме
Администратор,з/п не ук,Резюме
Газорезчик. Металлолом,2 000,Резюме
Водитель с личным авто 1.5 тонн,з/п не ук,Резюме
"Сиделка, домработница, няня",30 000,Резюме
Преподаватель,25 000,Резюме
Продавец выходного дня,15 000,Резюме
Рабочий,25 000,Резюме
Помощиник руководителя,30 000,Резюме
Ищу работу,50 000,Резюме
Любую работу,30 000,Резюме
Комплектовщик заказов,70 000,Вакансии
Косметолог салона красоты,45 000,Резюме
В пойсках работы на станций технического обслужива,з/п не ук,Резюме
"Грузчик, разнорабочий",25 000,Вакансии
Монтаж кондиционера,750,Резюме
Повар посудомойка,з/п не ук,Резюме
Начинающий фотограф ищет не постоянную работу,з/п не ук,Резюме
Парикмахер стилист визажист,45 000,Резюме
Специалист по документообороту,40 000,Резюме
Сантехник по эксплуатации жилова фонда,2 000,Резюме
Мастер маникюрного сервиса,50 000,Резюме
Мастер маникюра,35 000,Резюме
Продавец-администратор,20 000,Резюме
Учитель начальных классов/ коррекционный педагог,з/п не ук,Резюме
Мастер,з/п не ук,Резюме
Закройщик-раскройщик,з/п не ук,Резюме
Расклейка объявлений ежедневные выплаты,40 000,Вакансии
Требуется водитель на самосвал камаз 6520,50 000,Вакансии
Мастер наращивание и декорирование ресниц,1 500,Резюме
Требуется продавец в магазин одежды,18 000,Вакансии
Администратор автомойки,25 000,Резюме
Водитель на личном грузовом транспорте,1 000,Резюме
Водитель на своём фургоне до1.5т,з/п не ук,Резюме
Отделка моп,60 000,Вакансии
Сменный администратор в кафе,22 000,Вакансии
Повар горячего цеха,30 000,Вакансии
Официант,з/п не ук,Вакансии
"Диспетчер пдо, оператор пк, менеджер",30 000,Резюме
Фасовщик (комплектовщик),50 000,Вакансии
Любая,23 000,Резюме
Главный бухгалтер,з/п не ук,Резюме
Кровельщик (мягкая кровля),50 000,Резюме
"Юрист, юрисконсульт",35 000,Резюме
Менеджер по продажам и работе с клиентами,з/п не ук,Резюме
Электрогазосварщик,50 000,Резюме
Администратор,35 000,Резюме
Рекламщик,з/п не ук,Вакансии
Монтажник натяжных потолков,3 000,Резюме
"Водитель, авто механик",з/п не ук,Резюме
Монтажник витражи остекление балконов жилищка,50 000,Вакансии
Продавец - консультант,25 000,Резюме
Водитель на своем авто,з/п не ук,Резюме
Сантехник,40 000,Резюме
"Начальник отдела логистики, ведущий специалист",40 000,Резюме
Монтажник алюминиевых витражей,100 000,Вакансии
"Преподаватель рисования, живописи",20 000,Резюме
Ищу работу,20 000,Резюме
Маляр,з/п не ук,Резюме
Сварщик,32 000,Вакансии
"Гос. служба, иные вакансии из сферы юриспруденции",30 000,Резюме
Приглашаем на работу парикмахера-универсала,з/п не ук,Вакансии
"Помощник, администратор, менеджер",45 000,Резюме
Бухгалтер-экономист,60 000,Резюме
"Водитель, водитель-экспедитор на своём микроавт",50 000,Резюме
Требуются Тренера,10 000,Вакансии
Менеджер по работе с клиентами,30 000,Резюме
Требуются отделочники,100 000,Вакансии
Личный водитель,50 000,Вакансии
Монтажник рэа,з/п не ук,Резюме
Водитель,з/п не ук,Резюме
Рабочие профессионалы,1 500,Резюме
Сборшик мебели,35 000,Резюме
Столяр сборщик (радиусные шкафы и перегородки),45 000,Вакансии
Водитель кат В,30 000,Резюме
Водителем кат B,з/п не ук,Резюме
Каменщик,50 000,Резюме
Водитель кат. В,70 000,Резюме
Оператор аттракциона виртуальной реальности,750,Вакансии
Бухгалтер,30 000,Резюме
Руководитель коммерческого отдела,70 000,Резюме
Системный администратор,70 000,Резюме
"Водитель, водитель-экспедитор",з/п не ук,Резюме
Подработка,з/п не ук,Резюме
Аналитик/Трейдер,30 000,Резюме
Офисная работа,з/п не ук,Резюме
Ищу работу официанткой в небольшое кафе,25 000,Резюме
Водитель экспедитор,1 000,Резюме
Охранник,з/п не ук,Резюме
Работа мигрантам уборщиками в аэропорт,30 000,Вакансии
"Диспетчер, оператор",35 000,Резюме
Любая связанная с риском,з/п не ук,Резюме
Продавец - консультант зоотоваров,30 000,Вакансии
Ищу работу,з/п не ук,Резюме
Требуется распространитель листовок промоутер,1 500,Вакансии
Ищу работу,30 000,Резюме
Ищу работу суточная санитаркой,20 000,Резюме
"Офис менеджер, менеджер по персоналу",25 000,Резюме
Официант,з/п не ук,Резюме
Одесса,2 000,Резюме
Педагог-психолог,22 000,Резюме
Ваш личный бухгалтер (на дому),1 000,Резюме
Винильщик. Оклейщик. Специалист по стайлингу,50 000,Резюме
Автовинил. Оклейка. Винил,50 000,Резюме
Винильщик. Оклейщик. Специалист по стайлингу. Вини,5 000,Резюме
Врач стоматолог ортопед,з/п не ук,Резюме
Винильщик. Оклейщик. Специалист по стайлингу. Вини,50 000,Резюме
"Подборщик персонала, администратор, менеджер",50 000,Резюме
"Водитель, тракторист, охранник-сезонную до 1 мая",з/п не ук,Резюме
Переводчик,з/п не ук,Резюме
Менеджер по работе с партнёрами,40 000,Резюме
Уборка квартиры,2 000,Резюме
Требуется управляющий хостелом/гостиницей,з/п не ук,Вакансии
"Бригады фасадчиков, вентилируемый фасад, фасады",800,Резюме
"Главный инженер, Главный энергетик",3 500,Резюме
Мастер по ремонту телефонов и планшетов,25 000,Вакансии
"Бар-менеджер, бар-менеджер сети, Бармен",60 000,Резюме
Электрики,555,Резюме
"Работник в сфере клининга, уборки",30 000,Резюме
Штукатур-маляр,45 000,Вакансии
Автомойщик,з/п не ук,Резюме
"Хостес, бармен, официант",30 000,Резюме
Автомойщица,з/п не ук,Резюме
Работа на дому,15 000,Резюме
Компаньён,5 000,Резюме
Повар-универсал,45 000,Вакансии
Помощник по хозяству,35 000,Резюме
Горничная (неполный день),15 000,Резюме
"Горничная, администратор и официант на завтраки в",30 000,Резюме
Начальник производства / Руководитель,80 000,Резюме
Официант,25 000,Вакансии
Помощник руководителя,30 000,Резюме
Администратор,25 000,Резюме
"Кадастровый инженер, юрист",10 000,Резюме
"Плиточник, гипрочник",з/п не ук,Резюме
Раздача листововок,400,Вакансии
Ремонты,з/п не ук,Резюме
Водитель,15 000,Резюме
Машинист гусеничного крана,з/п не ук,Резюме
"Юрист, юристконсульт, помощник юриста",30 000,Резюме
Копирайтер (работа с текстами),25 000,Резюме
Инженер,25 000,Резюме
Садовник,3 000,Резюме
Полусухая стяжка,70 000,Резюме
"Продавец-консультант, администратор, грузчик",22 000,Резюме
Уборщица,з/п не ук,Резюме
Специалист в области стратегии безопасности бизнес,100 000,Резюме
Ищу подработку,з/п не ук,Резюме
Оператор минилаба noritsu,,Вакансии
Специалист в области стратегии безопасности бизнес,100 000,Резюме
Промоутер с громкоговорителем,400,Резюме
Контент-менеджер,20 000,Резюме
Сервисный инженер,10 000,Резюме
Охраник,27 000,Резюме
"Преподаватель английского, переводчик",50 000,Резюме
"Техник-теплотехник, машинист, инженер, энергетик",з/п не ук,Резюме
Курьер,20 000,Резюме
Подработка,35 000,Резюме
Руководитель(директор),35 000,Резюме
Работа совместимая с учебой,з/п не ук,Резюме
Водитель,з/п не ук,Резюме
"Автомоляр, автослесарь, бригадир, сварщик, помошни",45 000,Резюме
"Электрик, электромонтажник, электрик на час, элект",500,Резюме
